Product ID (#);Name;$ Price:;Quantity;Category;Description;Production Date (DD/MM/YYYY);Expiration Date (DD/MM/YYYY);Rating:;Status
1;Щелковская;2421;274;Напитки;Обеспечивает организм необходимыми жирами, белками и углеводами.;2013-08-11;2019-04-15;4.13;Returned
2;Тэфф;6200;937;Бакалея;Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.;2020-03-06;2028-03-05;4.96;Refunded
3;Блины с мясом;4773;710;Мясо;Подходит для людей всех возрастов, включая детей и пожилых.;2006-11-12;2015-05-14;0.49;Out of Stock
4;Полотенца банные;9398;380;Товары для дома;Способствует поддержанию нормальной микрофлоры кишечника.;2009-02-02;2015-02-02;2.78;Temporarily Unavailable
5;Клинская;2608;644;Напитки;Помогает улучшить работу мозга и повысить концентрацию внимания.;1991-06-12;2007-10-02;1.71;Refunded
6;Каша из дробленой ржи;6291;792;Бакалея;Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.;2020-02-05;2030-01-03;1.97;Delivered
7;Масло сливочное;5894;731;Молочные продукты;Помогает поддерживать нормальный уровень мочевой кислоты в организме.;2003-06-06;2007-03-08;2.26;On Backorder
8;Груша;8787;1;Фрукты;Отличается длительным сроком годности, что позволяет делать запасы.;2004-01-13;2009-03-03;4.28;New
9;Ряженка;2743;751;Молочные продукты;Поддерживает иммунитет и общее состояние здоровья.;1999-03-05;2026-05-01;2.51;Available for Pickup
10;Шампунь;2351;459;Товары для дома;Помогает улучшить когнитивные функции и память.;2022-02-16;2024-04-08;4.74;Awaiting Payment
11;Славяновская;7009;30;Напитки;Является источником важных микроэлементов, таких как магний и калий.;1995-01-12;2017-04-01;4.86;Out of Stock
12;Пакеты для Пасхи;3789;592;Товары для дома;Помогает улучшать качество сна и снижать уровень тревожности.;2004-01-19;2018-04-21;1.08;On Backorder
13;Макароны;424;909;Бакалея;Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.;2005-03-13;2021-09-12;4.88;Returned
14;Масло сливочное;7407;935;Молочные продукты;Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.;2013-01-01;2026-01-05;1.73;Backorder
15;Рязанская;3768;136;Напитки;Может быть использован в качестве заменителя менее полезных продуктов.;2018-03-14;2023-01-03;4.11;Pending
16;Кунжут черный;9361;100;Бакалея;Является источником антиоксидантов, замедляющих процессы старения.;2013-03-02;2017-05-03;2.64;Temporarily Unavailable
17;Моющее средство для стекол;8629;209;Товары для дома;Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.;1994-02-12;2026-06-09;2.25;New
18;Инжир;9359;402;Фрукты;Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.;1992-02-14;1996-01-04;3.03;Delivered
19;Пакеты для уборки;9272;437;Товары для дома;Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.;1999-01-09;2013-01-02;3.92;In Stock
20;Йогурт питьевой;8796;275;Напитки;Является важным компонентом сбалансированного рациона питания.;2011-04-05;2025-01-03;3.78;Awaiting Payment
21;Новотерская;6526;810;Напитки;Отличается низкой калорийностью и высоким содержанием белка.;2011-07-08;2028-09-20;4.07;Awaiting Review
22;Зефир;3825;359;Бакалея;Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.;2014-06-09;2023-02-03;3.11;Returned
