product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Химкинская,7793,666,Напитки,Представляет собой ценный источник питательных веществ для растущего организма.,2010-02-16,2023-02-16,Sold
2,Штопоры,5107,64,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2016-07-12,2030-02-07,Returned
3,Холодный чай с лимоном,800,596,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1997-06-02,2017-03-08,Delivered
5,Пакеты для выставки,1493,238,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2008-02-05,2030-07-02,Pending
6,Катык,6281,784,Молочные продукты,Подходит для использования в диетических программах для похудения.,2009-03-22,2018-02-18,Backorder
7,Батат,2359,299,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1990-04-04,2003-08-03,Cancelled
8,Пакеты для пикников,1254,366,Товары для дома,Способствует улучшению работы пищеварительной системы.,2007-01-03,2020-05-03,Backorder
9,Антрекот,1390,1,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2000-02-01,2000-05-06,Awaiting Review
10,Студень,8241,746,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2022-03-19,2025-02-16,Shipping
11,Шелковица,6744,124,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-03-02,2017-03-05,Shipping
12,Сельдерей,7853,917,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2015-03-11,2020-06-06,Awaiting Review
13,Приморская,9575,626,Напитки,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1990-01-06,1998-08-02,Cancelled
14,Баклажан,6081,339,Овощи,Отличается способностью повышать общий тонус и работоспособность.,1993-01-01,2001-08-05,Awaiting Payment
15,Оленина,1013,851,Мясо,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1996-04-18,2016-01-01,New
16,Топлёное молоко,8590,941,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2005-01-20,2019-02-16,On Backorder
19,Сырокопченая колбаса,6025,974,Мясо,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2000-10-22,2030-01-24,Returned
20,Смузи бананово-клубничный,987,365,Напитки,"Обладает мягким вкусом, который нравится многим потребителям.",1996-03-18,2024-03-21,Temporarily Unavailable
22,Пармезан,6669,946,Молочные продукты,Помогает нормализовать артериальное давление и уровень холестерина.,1990-03-05,2028-01-02,In Stock
23,Роллы с мясом,2766,705,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2018-03-02,2021-01-03,Shipping
25,Малина,2475,678,Фрукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1990-03-08,2029-04-08,Available for Pickup
26,Обуховская,5834,236,Напитки,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1995-06-05,1996-01-04,Available for Pickup
27,Ананас,1070,92,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2013-01-06,2022-09-01,In Stock
